%Output from Claritas:XVIEW amplitude spectrum zoom window at Fri Sep  1 19:01:02 2023
%Power spectrum listed as dB (dBmin=-60)
%Spectrum averaged over 360 traces
%Maximum input Power : 0
%Time window : 192 to 1600ms
%SHOTID range 83099648 to 94896128

%   Freq/Hz         Power
 0.000000e+00  -2.422396e+01
 4.882812e-01  -2.382634e+01
 9.765625e-01  -2.345043e+01
 1.464844e+00  -2.368501e+01
 1.953125e+00  -2.328243e+01
 2.441406e+00  -2.264955e+01
 2.929688e+00  -2.310514e+01
 3.417969e+00  -2.262510e+01
 3.906250e+00  -2.228847e+01
 4.394531e+00  -2.200222e+01
 4.882812e+00  -2.185847e+01
 5.371094e+00  -2.103119e+01
 5.859375e+00  -2.137922e+01
 6.347656e+00  -2.085892e+01
 6.835938e+00  -1.993559e+01
 7.324219e+00  -2.013233e+01
 7.812500e+00  -1.900581e+01
 8.300781e+00  -1.690668e+01
 8.789062e+00  -1.497777e+01
 9.277344e+00  -1.268847e+01
 9.765625e+00  -1.050958e+01
 1.025391e+01  -9.330408e+00
 1.074219e+01  -8.247265e+00
 1.123047e+01  -6.240568e+00
 1.171875e+01  -6.201771e+00
 1.220703e+01  -4.736282e+00
 1.269531e+01  -5.575683e+00
 1.318359e+01  -5.812500e+00
 1.367188e+01  -4.626752e+00
 1.416016e+01  -3.351437e+00
 1.464844e+01  -3.584332e+00
 1.513672e+01  -3.525257e+00
 1.562500e+01  -3.339742e+00
 1.611328e+01  -4.108586e+00
 1.660156e+01  -3.424786e+00
 1.708984e+01  -1.948453e+00
 1.757812e+01  -2.965737e+00
 1.806641e+01  -9.487892e-01
 1.855469e+01  -7.772467e-01
 1.904297e+01  -1.826086e+00
 1.953125e+01  -3.377322e+00
 2.001953e+01  -2.911816e+00
 2.050781e+01  -1.099933e-01
 2.099609e+01  -9.318608e-01
 2.148438e+01  -7.689483e-01
 2.197266e+01  -1.730529e+00
 2.246094e+01  -1.346962e+00
 2.294922e+01  -1.789184e+00
 2.343750e+01  -6.808332e-01
 2.392578e+01  -1.666501e-01
 2.441406e+01  -5.258455e-01
 2.490234e+01  -7.077735e-01
 2.539062e+01  0.000000e+00
 2.587891e+01  -1.264291e+00
 2.636719e+01  -1.672213e+00
 2.685547e+01  -2.207043e+00
 2.734375e+01  -1.625832e+00
 2.783203e+01  -2.003423e+00
 2.832031e+01  -1.761863e+00
 2.880859e+01  -2.954153e+00
 2.929688e+01  -2.833644e+00
 2.978516e+01  -2.196515e+00
 3.027344e+01  -4.095391e+00
 3.076172e+01  -3.002163e+00
 3.125000e+01  -3.269500e+00
 3.173828e+01  -3.454468e+00
 3.222656e+01  -3.860830e+00
 3.271484e+01  -5.961657e+00
 3.320312e+01  -5.379828e+00
 3.369141e+01  -5.375664e+00
 3.417969e+01  -7.191989e+00
 3.466797e+01  -5.104171e+00
 3.515625e+01  -6.679372e+00
 3.564453e+01  -6.873627e+00
 3.613281e+01  -7.654321e+00
 3.662109e+01  -8.205548e+00
 3.710938e+01  -8.845469e+00
 3.759766e+01  -9.157846e+00
 3.808594e+01  -1.012819e+01
 3.857422e+01  -9.718944e+00
 3.906250e+01  -1.284529e+01
 3.955078e+01  -1.180884e+01
 4.003906e+01  -1.337996e+01
 4.052734e+01  -1.410562e+01
 4.101562e+01  -1.543998e+01
 4.150391e+01  -1.557561e+01
 4.199219e+01  -1.677792e+01
 4.248047e+01  -1.893872e+01
 4.296875e+01  -1.982347e+01
 4.345703e+01  -2.013945e+01
 4.394531e+01  -2.148215e+01
 4.443359e+01  -2.158222e+01
 4.492188e+01  -2.230889e+01
 4.541016e+01  -2.249690e+01
 4.589844e+01  -2.295897e+01
 4.638672e+01  -2.368988e+01
 4.687500e+01  -2.382907e+01
 4.736328e+01  -2.457426e+01
 4.785156e+01  -2.571363e+01
 4.833984e+01  -2.568421e+01
 4.882812e+01  -2.627536e+01
 4.931641e+01  -2.682547e+01
 4.980469e+01  -2.644448e+01
 5.029297e+01  -2.671783e+01
 5.078125e+01  -2.696009e+01
 5.126953e+01  -2.699920e+01
 5.175781e+01  -2.675430e+01
 5.224609e+01  -2.728807e+01
 5.273438e+01  -2.735989e+01
 5.322266e+01  -2.706013e+01
 5.371094e+01  -2.770443e+01
 5.419922e+01  -2.815639e+01
 5.468750e+01  -2.778277e+01
 5.517578e+01  -2.833919e+01
 5.566406e+01  -2.855188e+01
 5.615234e+01  -2.812917e+01
 5.664062e+01  -2.821296e+01
 5.712891e+01  -2.833154e+01
 5.761719e+01  -2.775856e+01
 5.810547e+01  -2.793923e+01
 5.859375e+01  -2.828060e+01
 5.908203e+01  -2.828291e+01
 5.957031e+01  -2.777497e+01
 6.005859e+01  -2.831197e+01
 6.054688e+01  -2.811209e+01
 6.103516e+01  -2.787539e+01
 6.152344e+01  -2.868980e+01
 6.201172e+01  -2.873861e+01
 6.250000e+01  -2.873442e+01
