%Output from Claritas:XVIEW amplitude spectrum zoom window at Fri Sep  1 19:00:22 2023
%Power spectrum listed as dB (dBmin=-60)
%Spectrum averaged over 241 traces
%Maximum input Power : 0
%Time window : 200 to 920ms
%SHOTID range 38928384 to 46792704

%   Freq/Hz         Power
 0.000000e+00  -2.158561e+01
 9.765625e-01  -2.038857e+01
 1.953125e+00  -2.046892e+01
 2.929688e+00  -1.997742e+01
 3.906250e+00  -1.933349e+01
 4.882812e+00  -1.870220e+01
 5.859375e+00  -1.866968e+01
 6.835938e+00  -1.733256e+01
 7.812500e+00  -1.532900e+01
 8.789062e+00  -1.210058e+01
 9.765625e+00  -9.595095e+00
 1.074219e+01  -7.094757e+00
 1.171875e+01  -5.446467e+00
 1.269531e+01  -5.615923e+00
 1.367188e+01  -4.273692e+00
 1.464844e+01  -2.865946e+00
 1.562500e+01  -3.242796e+00
 1.660156e+01  -4.731470e+00
 1.757812e+01  -3.831585e+00
 1.855469e+01  -3.415548e+00
 1.953125e+01  -1.229203e+00
 2.050781e+01  -1.562603e+00
 2.148438e+01  -6.047244e-01
 2.246094e+01  -1.115292e+00
 2.343750e+01  -5.693192e-01
 2.441406e+01  0.000000e+00
 2.539062e+01  -6.826819e-01
 2.636719e+01  -1.312594e+00
 2.734375e+01  -6.250108e-01
 2.832031e+01  -7.239454e-01
 2.929688e+01  -2.052596e+00
 3.027344e+01  -1.963180e+00
 3.125000e+01  -2.846532e+00
 3.222656e+01  -3.191309e+00
 3.320312e+01  -3.003070e+00
 3.417969e+01  -4.163157e+00
 3.515625e+01  -4.883412e+00
 3.613281e+01  -6.343666e+00
 3.710938e+01  -6.985743e+00
 3.808594e+01  -8.597890e+00
 3.906250e+01  -1.056441e+01
 4.003906e+01  -1.100791e+01
 4.101562e+01  -1.372391e+01
 4.199219e+01  -1.582138e+01
 4.296875e+01  -1.700464e+01
 4.394531e+01  -1.762775e+01
 4.492188e+01  -1.936202e+01
 4.589844e+01  -2.053020e+01
 4.687500e+01  -2.128410e+01
 4.785156e+01  -2.250112e+01
 4.882812e+01  -2.345323e+01
 4.980469e+01  -2.336096e+01
 5.078125e+01  -2.357841e+01
 5.175781e+01  -2.408974e+01
 5.273438e+01  -2.432549e+01
 5.371094e+01  -2.396595e+01
 5.468750e+01  -2.450500e+01
 5.566406e+01  -2.501000e+01
 5.664062e+01  -2.512481e+01
 5.761719e+01  -2.493359e+01
 5.859375e+01  -2.543062e+01
 5.957031e+01  -2.530584e+01
 6.054688e+01  -2.462902e+01
 6.152344e+01  -2.504045e+01
 6.250000e+01  -2.662926e+01
