%   Freq/Hz         Power
 0.000000e+00  -3.149480e+01
 6.103516e-02  -3.048568e+01
 1.220703e-01  -3.071984e+01
 1.831055e-01  -3.029385e+01
 2.441406e-01  -3.028279e+01
 3.051758e-01  -3.011475e+01
 3.662109e-01  -2.997396e+01
 4.272461e-01  -3.009560e+01
 4.882812e-01  -3.016996e+01
 5.493164e-01  -3.033036e+01
 6.103516e-01  -3.015507e+01
 6.713867e-01  -2.997924e+01
 7.324219e-01  -3.022410e+01
 7.934570e-01  -3.016533e+01
 8.544922e-01  -3.005389e+01
 9.155273e-01  -2.999957e+01
 9.765625e-01  -2.994526e+01
 1.037598e+00  -3.015454e+01
 1.098633e+00  -3.008987e+01
 1.159668e+00  -2.997398e+01
 1.220703e+00  -2.993436e+01
 1.281738e+00  -2.971970e+01
 1.342773e+00  -2.984626e+01
 1.403809e+00  -2.986675e+01
 1.464844e+00  -2.977264e+01
 1.525879e+00  -2.988275e+01
 1.586914e+00  -3.007940e+01
 1.647949e+00  -3.018332e+01
 1.708984e+00  -3.020093e+01
 1.770020e+00  -2.991744e+01
 1.831055e+00  -2.970987e+01
 1.892090e+00  -2.955270e+01
 1.953125e+00  -2.936148e+01
 2.014160e+00  -2.950146e+01
 2.075195e+00  -2.967278e+01
 2.136230e+00  -2.969556e+01
 2.197266e+00  -2.954155e+01
 2.258301e+00  -2.950640e+01
 2.319336e+00  -2.939155e+01
 2.380371e+00  -2.949321e+01
 2.441406e+00  -2.928360e+01
 2.502441e+00  -2.950579e+01
 2.563477e+00  -2.896338e+01
 2.624512e+00  -2.918990e+01
 2.685547e+00  -2.910751e+01
 2.746582e+00  -2.884444e+01
 2.807617e+00  -2.893159e+01
 2.868652e+00  -2.884622e+01
 2.929688e+00  -2.872263e+01
 2.990723e+00  -2.872101e+01
 3.051758e+00  -2.882366e+01
 3.112793e+00  -2.841499e+01
 3.173828e+00  -2.852551e+01
 3.234863e+00  -2.851982e+01
 3.295898e+00  -2.833242e+01
 3.356934e+00  -2.825153e+01
 3.417969e+00  -2.838407e+01
 3.479004e+00  -2.824478e+01
 3.540039e+00  -2.834881e+01
 3.601074e+00  -2.810261e+01
 3.662109e+00  -2.806378e+01
 3.723145e+00  -2.796654e+01
 3.784180e+00  -2.784468e+01
 3.845215e+00  -2.778475e+01
 3.906250e+00  -2.767626e+01
 3.967285e+00  -2.735369e+01
 4.028320e+00  -2.768771e+01
 4.089355e+00  -2.769492e+01
 4.150391e+00  -2.731151e+01
 4.211426e+00  -2.690366e+01
 4.272461e+00  -2.705494e+01
 4.333496e+00  -2.700376e+01
 4.394531e+00  -2.702346e+01
 4.455566e+00  -2.693098e+01
 4.516602e+00  -2.697416e+01
 4.577637e+00  -2.654038e+01
 4.638672e+00  -2.633639e+01
 4.699707e+00  -2.632792e+01
 4.760742e+00  -2.632392e+01
 4.821777e+00  -2.647986e+01
 4.882812e+00  -2.644875e+01
 4.943848e+00  -2.610425e+01
 5.004883e+00  -2.624296e+01
 5.065918e+00  -2.602382e+01
 5.126953e+00  -2.597769e+01
 5.187988e+00  -2.612121e+01
 5.249023e+00  -2.600258e+01
 5.310059e+00  -2.534224e+01
 5.371094e+00  -2.553392e+01
 5.432129e+00  -2.551279e+01
