%Output from Claritas:XVIEW amplitude spectrum zoom window at Mon Sep  4 20:49:34 2023
%Power spectrum listed as dB (dBmin=-60)
%Spectrum averaged over 243 traces
%Maximum input Power : 0
%Time window : 780 to 1432ms
%SHOTID range 35389440 to 43384832

%   Freq/Hz         Power
 0.000000e+00  -2.554141e+01
 9.765625e-01  -2.419858e+01
 1.953125e+00  -2.414593e+01
 2.929688e+00  -2.406709e+01
 3.906250e+00  -2.344740e+01
 4.882812e+00  -2.270557e+01
 5.859375e+00  -2.119315e+01
 6.835938e+00  -1.937720e+01
 7.812500e+00  -1.781973e+01
 8.789062e+00  -1.466382e+01
 9.765625e+00  -1.084475e+01
 1.074219e+01  -6.338654e+00
 1.171875e+01  -7.828476e+00
 1.269531e+01  -5.115585e+00
 1.367188e+01  -4.760213e+00
 1.464844e+01  -3.453991e+00
 1.562500e+01  -5.241489e+00
 1.660156e+01  -1.183275e+00
 1.757812e+01  0.000000e+00
 1.855469e+01  -2.098343e+00
 1.953125e+01  -2.799744e+00
 2.050781e+01  -2.918104e+00
 2.148438e+01  -3.916336e+00
 2.246094e+01  -3.386833e+00
 2.343750e+01  -4.903729e+00
 2.441406e+01  -4.254128e+00
 2.539062e+01  -4.498166e+00
 2.636719e+01  -4.801772e+00
 2.734375e+01  -4.681640e+00
 2.832031e+01  -6.336390e+00
 2.929688e+01  -6.812156e+00
 3.027344e+01  -6.360475e+00
 3.125000e+01  -5.633571e+00
 3.222656e+01  -6.880751e+00
 3.320312e+01  -8.087603e+00
 3.417969e+01  -8.504285e+00
 3.515625e+01  -8.139588e+00
 3.613281e+01  -1.104191e+01
 3.710938e+01  -8.584413e+00
 3.808594e+01  -1.007005e+01
 3.906250e+01  -9.502255e+00
 4.003906e+01  -1.075683e+01
 4.101562e+01  -1.202539e+01
 4.199219e+01  -1.080734e+01
 4.296875e+01  -1.277320e+01
 4.394531e+01  -1.408633e+01
 4.492188e+01  -1.442006e+01
 4.589844e+01  -1.526194e+01
 4.687500e+01  -1.677399e+01
 4.785156e+01  -1.818961e+01
 4.882812e+01  -1.925545e+01
 4.980469e+01  -2.081323e+01
 5.078125e+01  -2.196863e+01
 5.175781e+01  -2.094735e+01
 5.273438e+01  -2.282962e+01
 5.371094e+01  -2.409495e+01
 5.468750e+01  -2.494457e+01
 5.566406e+01  -2.522856e+01
 5.664062e+01  -2.586941e+01
 5.761719e+01  -2.451807e+01
 5.859375e+01  -2.677479e+01
 5.957031e+01  -2.972944e+01
 6.054688e+01  -3.040440e+01
 6.152344e+01  -3.211395e+01
 6.250000e+01  -3.248413e+01
 6.347656e+01  -3.231532e+01
 6.445312e+01  -3.342825e+01
 6.542969e+01  -3.360193e+01
 6.640625e+01  -3.330714e+01
 6.738281e+01  -3.452226e+01
 6.835938e+01  -3.379069e+01
 6.933594e+01  -3.431268e+01
 7.031250e+01  -3.507675e+01
 7.128906e+01  -3.411377e+01
 7.226562e+01  -3.468934e+01
 7.324219e+01  -3.594506e+01
 7.421875e+01  -3.444840e+01
 7.519531e+01  -3.521375e+01
 7.617188e+01  -3.603285e+01
 7.714844e+01  -3.512695e+01
 7.812500e+01  -3.596637e+01
 7.910156e+01  -3.616584e+01
 8.007812e+01  -3.569815e+01
 8.105469e+01  -3.674726e+01
 8.203125e+01  -3.582880e+01
 8.300781e+01  -3.621107e+01
 8.398438e+01  -3.707830e+01
 8.496094e+01  -3.624216e+01
 8.593750e+01  -3.688385e+01
 8.691406e+01  -3.722537e+01
 8.789062e+01  -3.636473e+01
 8.886719e+01  -3.675364e+01
 8.984375e+01  -3.736035e+01
 9.082031e+01  -3.682499e+01
 9.179688e+01  -3.733721e+01
 9.277344e+01  -3.722986e+01
 9.375000e+01  -3.746732e+01
 9.472656e+01  -3.794296e+01
 9.570312e+01  -3.719749e+01
 9.667969e+01  -3.756947e+01
 9.765625e+01  -3.821190e+01
 9.863281e+01  -3.712331e+01
 9.960938e+01  -3.765099e+01
 1.005859e+02  -3.858214e+01
 1.015625e+02  -3.743237e+01
 1.025391e+02  -3.778739e+01
 1.035156e+02  -3.817849e+01
 1.044922e+02  -3.800237e+01
 1.054688e+02  -3.816782e+01
 1.064453e+02  -3.792770e+01
 1.074219e+02  -3.826228e+01
 1.083984e+02  -3.864379e+01
 1.093750e+02  -3.785672e+01
 1.103516e+02  -3.809829e+01
 1.113281e+02  -3.910041e+01
 1.123047e+02  -3.792875e+01
 1.132812e+02  -3.814787e+01
 1.142578e+02  -3.913448e+01
 1.152344e+02  -3.817985e+01
 1.162109e+02  -3.818321e+01
 1.171875e+02  -3.863303e+01
 1.181641e+02  -3.855236e+01
 1.191406e+02  -3.859391e+01
 1.201172e+02  -3.824259e+01
 1.210938e+02  -3.841502e+01
 1.220703e+02  -3.901261e+01
 1.230469e+02  -3.813485e+01
 1.240234e+02  -3.822950e+01
 1.250000e+02  -3.936520e+01
