%Output from Claritas:XVIEW amplitude spectrum zoom window at Mon Sep  4 20:48:11 2023
%Power spectrum listed as dB (dBmin=-60)
%Spectrum averaged over 163 traces
%Maximum input Power : 0
%Time window : 688 to 1356ms
%SHOTID range 13238272 to 18612224

%   Freq/Hz         Power
 0.000000e+00  -2.549042e+01
 9.765625e-01  -2.400694e+01
 1.953125e+00  -2.499903e+01
 2.929688e+00  -2.351543e+01
 3.906250e+00  -2.449084e+01
 4.882812e+00  -2.315815e+01
 5.859375e+00  -2.256700e+01
 6.835938e+00  -2.212392e+01
 7.812500e+00  -2.020916e+01
 8.789062e+00  -1.703718e+01
 9.765625e+00  -1.552928e+01
 1.074219e+01  -8.971403e+00
 1.171875e+01  -7.770916e+00
 1.269531e+01  -7.183774e+00
 1.367188e+01  -2.371346e+00
 1.464844e+01  -2.095370e+00
 1.562500e+01  -4.008575e+00
 1.660156e+01  -1.112862e+00
 1.757812e+01  0.000000e+00
 1.855469e+01  -3.108240e+00
 1.953125e+01  -2.666552e+00
 2.050781e+01  -2.777179e+00
 2.148438e+01  -4.238934e+00
 2.246094e+01  -2.651263e+00
 2.343750e+01  -5.917274e+00
 2.441406e+01  -7.302168e+00
 2.539062e+01  -7.233245e+00
 2.636719e+01  -4.603152e+00
 2.734375e+01  -5.266829e+00
 2.832031e+01  -6.194756e+00
 2.929688e+01  -6.265174e+00
 3.027344e+01  -5.622385e+00
 3.125000e+01  -6.574701e+00
 3.222656e+01  -7.686493e+00
 3.320312e+01  -7.972330e+00
 3.417969e+01  -7.605916e+00
 3.515625e+01  -8.187662e+00
 3.613281e+01  -8.850597e+00
 3.710938e+01  -8.579377e+00
 3.808594e+01  -8.020336e+00
 3.906250e+01  -1.085494e+01
 4.003906e+01  -9.771687e+00
 4.101562e+01  -1.020890e+01
 4.199219e+01  -9.790127e+00
 4.296875e+01  -1.163008e+01
 4.394531e+01  -1.206641e+01
 4.492188e+01  -1.374678e+01
 4.589844e+01  -1.289477e+01
 4.687500e+01  -1.412455e+01
 4.785156e+01  -1.688031e+01
 4.882812e+01  -1.875503e+01
 4.980469e+01  -1.894366e+01
 5.078125e+01  -2.043024e+01
 5.175781e+01  -2.044889e+01
 5.273438e+01  -2.157414e+01
 5.371094e+01  -2.051692e+01
 5.468750e+01  -2.255489e+01
 5.566406e+01  -2.317831e+01
 5.664062e+01  -2.344672e+01
 5.761719e+01  -2.186046e+01
 5.859375e+01  -2.309657e+01
 5.957031e+01  -2.659830e+01
 6.054688e+01  -2.886031e+01
 6.152344e+01  -2.868925e+01
 6.250000e+01  -3.073035e+01
 6.347656e+01  -3.113556e+01
 6.445312e+01  -3.036514e+01
 6.542969e+01  -3.173111e+01
 6.640625e+01  -3.203453e+01
 6.738281e+01  -3.111408e+01
 6.835938e+01  -3.300213e+01
 6.933594e+01  -3.240658e+01
 7.031250e+01  -3.179714e+01
 7.128906e+01  -3.353420e+01
 7.226562e+01  -3.297437e+01
 7.324219e+01  -3.238913e+01
 7.421875e+01  -3.428902e+01
 7.519531e+01  -3.335816e+01
 7.617188e+01  -3.316506e+01
 7.714844e+01  -3.387434e+01
 7.812500e+01  -3.393315e+01
 7.910156e+01  -3.384199e+01
 8.007812e+01  -3.476665e+01
 8.105469e+01  -3.434394e+01
 8.203125e+01  -3.470511e+01
 8.300781e+01  -3.446549e+01
 8.398438e+01  -3.439432e+01
 8.496094e+01  -3.518398e+01
 8.593750e+01  -3.491206e+01
 8.691406e+01  -3.463746e+01
 8.789062e+01  -3.567754e+01
 8.886719e+01  -3.505624e+01
 8.984375e+01  -3.499664e+01
 9.082031e+01  -3.616885e+01
 9.179688e+01  -3.531446e+01
 9.277344e+01  -3.524471e+01
 9.375000e+01  -3.667968e+01
 9.472656e+01  -3.548864e+01
 9.570312e+01  -3.520000e+01
 9.667969e+01  -3.708268e+01
 9.765625e+01  -3.580295e+01
 9.863281e+01  -3.540717e+01
 9.960938e+01  -3.697113e+01
 1.005859e+02  -3.604549e+01
 1.015625e+02  -3.566153e+01
 1.025391e+02  -3.689893e+01
 1.035156e+02  -3.606890e+01
 1.044922e+02  -3.602564e+01
 1.054688e+02  -3.670517e+01
 1.064453e+02  -3.660170e+01
 1.074219e+02  -3.617609e+01
 1.083984e+02  -3.676166e+01
 1.093750e+02  -3.664789e+01
 1.103516e+02  -3.651865e+01
 1.113281e+02  -3.640945e+01
 1.123047e+02  -3.667812e+01
 1.132812e+02  -3.678853e+01
 1.142578e+02  -3.651340e+01
 1.152344e+02  -3.655628e+01
 1.162109e+02  -3.719372e+01
 1.171875e+02  -3.637038e+01
 1.181641e+02  -3.649751e+01
 1.191406e+02  -3.753783e+01
 1.201172e+02  -3.633691e+01
 1.210938e+02  -3.641861e+01
 1.220703e+02  -3.788070e+01
 1.230469e+02  -3.630795e+01
 1.240234e+02  -3.640691e+01
 1.250000e+02  -3.793559e+01
