%Output from Claritas:XVIEW amplitude spectrum zoom window at Mon Sep  4 20:44:19 2023
%Power spectrum listed as dB (dBmin=-60)
%Spectrum averaged over 150 traces
%Maximum input Power : 0
%Time window : 112 to 420ms
%SHOTID range 35520512 to 40501248

%   Freq/Hz         Power
 0.000000e+00  -2.445900e+01
 1.953125e+00  -2.365198e+01
 3.906250e+00  -2.227965e+01
 5.859375e+00  -1.942620e+01
 7.812500e+00  -1.696619e+01
 9.765625e+00  -1.029898e+01
 1.171875e+01  -6.179700e+00
 1.367188e+01  -5.311396e+00
 1.562500e+01  -4.914612e+00
 1.757812e+01  -3.788875e+00
 1.953125e+01  -2.328576e+00
 2.148438e+01  -1.382011e+00
 2.343750e+01  -6.176420e-01
 2.539062e+01  -1.540814e+00
 2.734375e+01  -1.598130e-01
 2.929688e+01  -4.936122e-01
 3.125000e+01  -2.393925e-01
 3.320312e+01  -2.588597e-07
 3.515625e+01  -2.828288e-01
 3.710938e+01  -7.387516e-01
 3.906250e+01  -1.333675e+00
 4.101562e+01  -1.607825e+00
 4.296875e+01  -1.721623e+00
 4.492188e+01  -2.888408e+00
 4.687500e+01  -3.262836e+00
 4.882812e+01  -2.397782e+00
 5.078125e+01  -2.722457e+00
 5.273438e+01  -3.637106e+00
 5.468750e+01  -3.562547e+00
 5.664062e+01  -2.980147e+00
 5.859375e+01  -3.250047e+00
 6.054688e+01  -7.682716e+00
 6.250000e+01  -1.333849e+01
 6.445312e+01  -2.064634e+01
 6.640625e+01  -2.130758e+01
 6.835938e+01  -2.439755e+01
 7.031250e+01  -2.526608e+01
 7.226562e+01  -2.707270e+01
 7.421875e+01  -2.758733e+01
 7.617188e+01  -2.792877e+01
 7.812500e+01  -2.879357e+01
 8.007812e+01  -3.005175e+01
 8.203125e+01  -2.918236e+01
 8.398438e+01  -2.993114e+01
 8.593750e+01  -3.061090e+01
 8.789062e+01  -3.056206e+01
 8.984375e+01  -3.197497e+01
 9.179688e+01  -3.080840e+01
 9.375000e+01  -3.178866e+01
 9.570312e+01  -3.174617e+01
 9.765625e+01  -3.199498e+01
 9.960938e+01  -3.275863e+01
 1.015625e+02  -3.237759e+01
 1.035156e+02  -3.272364e+01
 1.054688e+02  -3.303141e+01
 1.074219e+02  -3.275622e+01
 1.093750e+02  -3.331216e+01
 1.113281e+02  -3.308677e+01
 1.132812e+02  -3.285483e+01
 1.152344e+02  -3.374171e+01
 1.171875e+02  -3.320018e+01
 1.191406e+02  -3.345693e+01
 1.210938e+02  -3.344729e+01
 1.230469e+02  -3.339719e+01
 1.250000e+02  -3.422140e+01
