%Output from Claritas:XVIEW amplitude spectrum zoom window at Mon Sep  4 20:53:50 2023
%Power spectrum listed as dB (dBmin=-60)
%Spectrum averaged over 199 traces
%Maximum input Power : 0
%Time window : 752 to 1416ms
%SHOTID range 37879808 to 44302336

%   Freq/Hz         Power
 0.000000e+00  -2.332298e+01
 9.765625e-01  -2.459039e+01
 1.953125e+00  -2.325638e+01
 2.929688e+00  -2.203603e+01
 3.906250e+00  -2.326812e+01
 4.882812e+00  -2.140464e+01
 5.859375e+00  -2.014191e+01
 6.835938e+00  -2.058161e+01
 7.812500e+00  -1.716909e+01
 8.789062e+00  -1.408532e+01
 9.765625e+00  -9.197847e+00
 1.074219e+01  -5.344644e+00
 1.171875e+01  -4.643597e+00
 1.269531e+01  -3.859909e+00
 1.367188e+01  -3.839157e+00
 1.464844e+01  -3.164626e+00
 1.562500e+01  -3.700467e+00
 1.660156e+01  -2.224836e-01
 1.757812e+01  0.000000e+00
 1.855469e+01  -1.950232e+00
 1.953125e+01  -1.922651e+00
 2.050781e+01  -8.299010e-01
 2.148438e+01  -1.597021e+00
 2.246094e+01  -1.122294e+00
 2.343750e+01  -3.439415e+00
 2.441406e+01  -1.379422e+00
 2.539062e+01  -2.263660e+00
 2.636719e+01  -1.898868e+00
 2.734375e+01  -1.684592e+00
 2.832031e+01  -3.790347e+00
 2.929688e+01  -3.618906e+00
 3.027344e+01  -4.163336e+00
 3.125000e+01  -3.880766e+00
 3.222656e+01  -4.838623e+00
 3.320312e+01  -6.739873e+00
 3.417969e+01  -8.145549e+00
 3.515625e+01  -7.497739e+00
 3.613281e+01  -1.190853e+01
 3.710938e+01  -9.955522e+00
 3.808594e+01  -1.248789e+01
 3.906250e+01  -1.409839e+01
 4.003906e+01  -1.700637e+01
 4.101562e+01  -1.807936e+01
 4.199219e+01  -1.973884e+01
 4.296875e+01  -2.174682e+01
 4.394531e+01  -2.249902e+01
 4.492188e+01  -2.422389e+01
 4.589844e+01  -2.454902e+01
 4.687500e+01  -2.523873e+01
 4.785156e+01  -2.633965e+01
 4.882812e+01  -2.708356e+01
 4.980469e+01  -2.734362e+01
 5.078125e+01  -2.745848e+01
 5.175781e+01  -2.769396e+01
 5.273438e+01  -2.792857e+01
 5.371094e+01  -2.852164e+01
 5.468750e+01  -2.874885e+01
 5.566406e+01  -2.843521e+01
 5.664062e+01  -2.888442e+01
 5.761719e+01  -2.808932e+01
 5.859375e+01  -2.826814e+01
 5.957031e+01  -2.897520e+01
 6.054688e+01  -2.871384e+01
 6.152344e+01  -2.865608e+01
 6.250000e+01  -2.942070e+01
