%Output from Claritas:XVIEW amplitude spectrum zoom window at Mon Sep  4 20:55:36 2023
%Power spectrum listed as dB (dBmin=-60)
%Spectrum averaged over 173 traces
%Maximum input Power : 0
%Time window : 544 to 936ms
%SHOTID range 13828096 to 20578304

%   Freq/Hz         Power
 0.000000e+00  -2.190640e+01
 1.953125e+00  -2.123203e+01
 3.906250e+00  -2.113449e+01
 5.859375e+00  -1.997521e+01
 7.812500e+00  -1.668501e+01
 9.765625e+00  -1.310316e+01
 1.171875e+01  -7.712499e+00
 1.367188e+01  -7.890581e+00
 1.562500e+01  -3.573472e+00
 1.757812e+01  -4.807743e-01
 1.953125e+01  -1.223974e+00
 2.148438e+01  -1.189152e+00
 2.343750e+01  0.000000e+00
 2.539062e+01  -2.696464e+00
 2.734375e+01  -3.755188e+00
 2.929688e+01  -3.456709e+00
 3.125000e+01  -3.397072e+00
 3.320312e+01  -4.549067e+00
 3.515625e+01  -6.198468e+00
 3.710938e+01  -7.036621e+00
 3.906250e+01  -9.389868e+00
 4.101562e+01  -1.140955e+01
 4.296875e+01  -1.488516e+01
 4.492188e+01  -1.683003e+01
 4.687500e+01  -1.935850e+01
 4.882812e+01  -2.332611e+01
 5.078125e+01  -2.367030e+01
 5.273438e+01  -2.423083e+01
 5.468750e+01  -2.463311e+01
 5.664062e+01  -2.515091e+01
 5.859375e+01  -2.585321e+01
 6.054688e+01  -2.517972e+01
 6.250000e+01  -2.577609e+01
