%Output from Claritas:XVIEW amplitude spectrum zoom window at Mon Sep  4 20:54:20 2023
%Power spectrum listed as dB (dBmin=-60)
%Spectrum averaged over 189 traces
%Maximum input Power : 0
%Time window : 80 to 440ms
%SHOTID range 37224448 to 43384832

%   Freq/Hz         Power
 0.000000e+00  -1.867914e+01
 1.953125e+00  -1.739860e+01
 3.906250e+00  -1.673394e+01
 5.859375e+00  -1.511127e+01
 7.812500e+00  -1.324652e+01
 9.765625e+00  -7.679925e+00
 1.171875e+01  -3.239590e+00
 1.367188e+01  -4.763850e+00
 1.562500e+01  -5.137150e+00
 1.757812e+01  -4.323539e+00
 1.953125e+01  -2.580538e+00
 2.148438e+01  -1.765038e+00
 2.343750e+01  0.000000e+00
 2.539062e+01  -1.473312e+00
 2.734375e+01  -1.186406e+00
 2.929688e+01  -8.008676e-01
 3.125000e+01  -2.306667e+00
 3.320312e+01  -1.130119e+00
 3.515625e+01  -2.333170e+00
 3.710938e+01  -2.750499e+00
 3.906250e+01  -4.368343e+00
 4.101562e+01  -8.557793e+00
 4.296875e+01  -1.153754e+01
 4.492188e+01  -1.447657e+01
 4.687500e+01  -1.830476e+01
 4.882812e+01  -2.000790e+01
 5.078125e+01  -2.087104e+01
 5.273438e+01  -2.183448e+01
 5.468750e+01  -2.258780e+01
 5.664062e+01  -2.226473e+01
 5.859375e+01  -2.243445e+01
 6.054688e+01  -2.284931e+01
 6.250000e+01  -2.403543e+01
