%Output from Claritas:XVIEW amplitude spectrum zoom window at Sun Aug 27 23:10:21 2023
%Power spectrum listed as dB (dBmin=-60)
%Spectrum averaged over 629 traces
%Maximum input Power : 0
%Time window : 0 to 15992ms
%SHOTID range 13172736 to 36044800

%   Freq/Hz         Power
 0.000000e+00  -2.628631e+01
 6.103516e-02  -2.544108e+01
 1.220703e-01  -2.583080e+01
 1.831055e-01  -2.579995e+01
 2.441406e-01  -2.589184e+01
 3.051758e-01  -2.584190e+01
 3.662109e-01  -2.587135e+01
 4.272461e-01  -2.607308e+01
 4.882812e-01  -2.590036e+01
 5.493164e-01  -2.579617e+01
 6.103516e-01  -2.572629e+01
 6.713867e-01  -2.548210e+01
 7.324219e-01  -2.554905e+01
 7.934570e-01  -2.580183e+01
 8.544922e-01  -2.564958e+01
 9.155273e-01  -2.558024e+01
 9.765625e-01  -2.534016e+01
 1.037598e+00  -2.525282e+01
 1.098633e+00  -2.533081e+01
 1.159668e+00  -2.522597e+01
 1.220703e+00  -2.585313e+01
 1.281738e+00  -2.542607e+01
 1.342773e+00  -2.528769e+01
 1.403809e+00  -2.533343e+01
 1.464844e+00  -2.563308e+01
 1.525879e+00  -2.482700e+01
 1.586914e+00  -2.496900e+01
 1.647949e+00  -2.539552e+01
 1.708984e+00  -2.550288e+01
 1.770020e+00  -2.516590e+01
 1.831055e+00  -2.487095e+01
 1.892090e+00  -2.539257e+01
 1.953125e+00  -2.534147e+01
 2.014160e+00  -2.520780e+01
 2.075195e+00  -2.454103e+01
 2.136230e+00  -2.436145e+01
 2.197266e+00  -2.433563e+01
 2.258301e+00  -2.536692e+01
 2.319336e+00  -2.516892e+01
 2.380371e+00  -2.502516e+01
 2.441406e+00  -2.465208e+01
 2.502441e+00  -2.520138e+01
 2.563477e+00  -2.464853e+01
 2.624512e+00  -2.515785e+01
 2.685547e+00  -2.487371e+01
 2.746582e+00  -2.458770e+01
 2.807617e+00  -2.459312e+01
 2.868652e+00  -2.485624e+01
 2.929688e+00  -2.439013e+01
 2.990723e+00  -2.409937e+01
 3.051758e+00  -2.417785e+01
 3.112793e+00  -2.430363e+01
 3.173828e+00  -2.389385e+01
 3.234863e+00  -2.441469e+01
 3.295898e+00  -2.424998e+01
 3.356934e+00  -2.419023e+01
 3.417969e+00  -2.447478e+01
 3.479004e+00  -2.391461e+01
 3.540039e+00  -2.435410e+01
 3.601074e+00  -2.404078e+01
 3.662109e+00  -2.359864e+01
 3.723145e+00  -2.425652e+01
 3.784180e+00  -2.368719e+01
 3.845215e+00  -2.412719e+01
 3.906250e+00  -2.422905e+01
 3.967285e+00  -2.427160e+01
 4.028320e+00  -2.394725e+01
 4.089355e+00  -2.390639e+01
 4.150391e+00  -2.412391e+01
 4.211426e+00  -2.358415e+01
 4.272461e+00  -2.317878e+01
 4.333496e+00  -2.357420e+01
 4.394531e+00  -2.325167e+01
 4.455566e+00  -2.352208e+01
 4.516602e+00  -2.342146e+01
 4.577637e+00  -2.338201e+01
 4.638672e+00  -2.309017e+01
 4.699707e+00  -2.314309e+01
 4.760742e+00  -2.325422e+01
 4.821777e+00  -2.288924e+01
 4.882812e+00  -2.315329e+01
