%   Freq/Hz         Amplitude
 0.000000e+00  1.827944e-02
 6.103516e-02  2.696181e-03
 1.220703e-01  2.690952e-03
 1.831055e-01  2.675338e-03
 2.441406e-01  2.660701e-03
 3.051758e-01  2.635261e-03
 3.662109e-01  2.610852e-03
 4.272461e-01  2.577226e-03
 4.882812e-01  2.545715e-03
 5.493164e-01  2.506511e-03
 6.103516e-01  2.471064e-03
 6.713867e-01  2.430856e-03
 7.324219e-01  2.395957e-03
 7.934570e-01  2.358659e-03
 8.544922e-01  2.330453e-03
 9.155273e-01  2.302842e-03
 9.765625e-01  2.286313e-03
 1.037598e+00  2.273507e-03
 1.098633e+00  2.273065e-03
 1.159668e+00  2.277885e-03
 1.220703e+00  2.296371e-03
 1.281738e+00  2.320514e-03
 1.342773e+00  2.356895e-03
 1.403809e+00  2.400125e-03
 1.464844e+00  2.452944e-03
 1.525879e+00  2.510914e-03
 1.586914e+00  2.577113e-03
 1.647949e+00  2.646296e-03
 1.708984e+00  2.721192e-03
 1.770020e+00  2.796344e-03
 1.831055e+00  2.876061e-03
 1.892090e+00  2.955135e-03
 1.953125e+00  3.035649e-03
 2.014160e+00  3.113307e-03
 2.075195e+00  3.189198e-03
 2.136230e+00  3.260895e-03
 2.197266e+00  3.329035e-03
 2.258301e+00  3.392882e-03
 2.319336e+00  3.451343e-03
 2.380371e+00  3.501831e-03
 2.441406e+00  3.550128e-03
 2.502441e+00  3.589097e-03
 2.563477e+00  3.623212e-03
 2.624512e+00  3.648912e-03
 2.685547e+00  3.668618e-03
 2.746582e+00  3.680581e-03
 2.807617e+00  3.686919e-03
 2.868652e+00  3.685670e-03
 2.929688e+00  3.678150e-03
 2.990723e+00  3.665390e-03
 3.051758e+00  3.647949e-03
 3.112793e+00  3.625885e-03
 3.173828e+00  3.601161e-03
 3.234863e+00  3.573966e-03
 3.295898e+00  3.546137e-03
 3.356934e+00  3.519071e-03
 3.417969e+00  3.493570e-03
 3.479004e+00  3.472925e-03
 3.540039e+00  3.455710e-03
 3.601074e+00  3.447520e-03
 3.662109e+00  3.444190e-03
 3.723145e+00  3.451120e-03
 3.784180e+00  3.466013e-03
 3.845215e+00  3.492816e-03
 3.906250e+00  3.527053e-03
 3.967285e+00  3.574518e-03
 4.028320e+00  3.629000e-03
 4.089355e+00  3.696851e-03
 4.150391e+00  3.771445e-03
 4.211426e+00  3.858996e-03
 4.272461e+00  3.950389e-03
 4.333496e+00  4.054025e-03
 4.394531e+00  4.158787e-03
 4.455566e+00  4.274673e-03
 4.516602e+00  4.390966e-03
 4.577637e+00  4.516187e-03
 4.638672e+00  4.639554e-03
 4.699707e+00  4.768119e-03
 4.760742e+00  4.893460e-03
 4.821777e+00  5.022682e-03
 4.882812e+00  5.143000e-03
 4.943848e+00  5.267440e-03
 5.004883e+00  5.380157e-03
 5.065918e+00  5.491233e-03
 5.126953e+00  5.593687e-03
 5.187988e+00  5.693525e-03
 5.249023e+00  5.783954e-03
 5.310059e+00  5.870446e-03
 5.371094e+00  5.950855e-03
 5.432129e+00  6.028293e-03
 5.493164e+00  6.088011e-03
 5.554199e+00  6.158615e-03
 5.615234e+00  6.202716e-03
 5.676270e+00  6.256466e-03
 5.737305e+00  6.300998e-03
 5.798340e+00  6.357028e-03
 5.859375e+00  6.388659e-03
 5.920410e+00  6.433671e-03
 5.981445e+00  6.475559e-03
 6.042480e+00  6.535181e-03
 6.103516e+00  6.588994e-03
 6.164551e+00  6.679465e-03
 6.225586e+00  6.749746e-03
 6.286621e+00  6.833672e-03
 6.347656e+00  6.924159e-03
 6.408691e+00  7.080291e-03
 6.469727e+00  7.199953e-03
 6.530762e+00  7.346611e-03
 6.591797e+00  7.598625e-03
 6.652832e+00  7.764293e-03
 6.713867e+00  7.950064e-03
 6.774902e+00  8.191101e-03
 6.835938e+00  8.393416e-03
 6.896973e+00  8.707167e-03
 6.958008e+00  9.129539e-03
 7.019043e+00  9.340195e-03
 7.080078e+00  9.644791e-03
 7.141113e+00  1.004353e-02
 7.202148e+00  1.038981e-02
 7.263184e+00  1.077474e-02
 7.324219e+00  1.115236e-02
 7.385254e+00  1.151959e-02
 7.446289e+00  1.208242e-02
 7.507324e+00  1.242339e-02
 7.568359e+00  1.294332e-02
 7.629395e+00  1.335110e-02
 7.690430e+00  1.386972e-02
 7.751465e+00  1.425806e-02
 7.812500e+00  1.470586e-02
 7.873535e+00  1.494283e-02
 7.934570e+00  1.535185e-02
 7.995605e+00  1.585703e-02
 8.056641e+00  1.637767e-02
 8.117676e+00  1.690756e-02
 8.178711e+00  1.766738e-02
 8.239746e+00  1.833463e-02
 8.300781e+00  1.853091e-02
 8.361816e+00  1.973118e-02
 8.422852e+00  2.179612e-02
 8.483887e+00  2.085666e-02
 8.544922e+00  2.142768e-02
 8.605957e+00  2.197382e-02
 8.666992e+00  2.410022e-02
 8.728027e+00  2.324871e-02
 8.789062e+00  2.514602e-02
 8.850098e+00  2.586945e-02
 8.911133e+00  2.733630e-02
 8.972168e+00  2.880723e-02
 9.033203e+00  2.978103e-02
 9.094238e+00  3.133037e-02
 9.155273e+00  3.259873e-02
 9.216309e+00  3.438811e-02
 9.277344e+00  3.554045e-02
 9.338379e+00  3.667457e-02
 9.399414e+00  3.865092e-02
 9.460449e+00  4.187940e-02
 9.521484e+00  4.448332e-02
 9.582520e+00  4.457183e-02
 9.643555e+00  4.820121e-02
 9.704590e+00  4.990634e-02
 9.765625e+00  5.424069e-02
 9.826660e+00  5.564362e-02
 9.887695e+00  5.993641e-02
 9.948730e+00  6.389654e-02
 1.000977e+01  6.568060e-02
 1.007080e+01  6.960383e-02
 1.013184e+01  7.437128e-02
 1.019287e+01  8.046363e-02
 1.025391e+01  8.424336e-02
 1.031494e+01  9.045909e-02
 1.037598e+01  9.332722e-02
 1.043701e+01  9.770146e-02
 1.049805e+01  1.089224e-01
 1.055908e+01  1.151777e-01
 1.062012e+01  1.179577e-01
 1.068115e+01  1.241998e-01
 1.074219e+01  1.345206e-01
 1.080322e+01  1.362910e-01
 1.086426e+01  1.499361e-01
 1.092529e+01  1.575355e-01
 1.098633e+01  1.615669e-01
 1.104736e+01  1.658800e-01
 1.110840e+01  1.744688e-01
 1.116943e+01  1.897966e-01
 1.123047e+01  1.941637e-01
 1.129150e+01  1.962331e-01
 1.135254e+01  2.041214e-01
 1.141357e+01  2.121784e-01
 1.147461e+01  2.203233e-01
 1.153564e+01  2.273609e-01
 1.159668e+01  2.351261e-01
 1.165771e+01  2.342278e-01
 1.171875e+01  2.466015e-01
 1.177979e+01  2.557533e-01
 1.184082e+01  2.569050e-01
 1.190186e+01  2.614830e-01
 1.196289e+01  2.724429e-01
 1.202393e+01  2.738703e-01
 1.208496e+01  2.792263e-01
 1.214600e+01  2.881359e-01
 1.220703e+01  2.863138e-01
 1.226807e+01  2.913867e-01
 1.232910e+01  2.972536e-01
 1.239014e+01  2.887525e-01
 1.245117e+01  2.902910e-01
 1.251221e+01  2.941934e-01
 1.257324e+01  2.904416e-01
 1.263428e+01  2.871757e-01
 1.269531e+01  2.876957e-01
 1.275635e+01  2.842436e-01
 1.281738e+01  2.801751e-01
 1.287842e+01  2.867759e-01
 1.293945e+01  2.794986e-01
 1.300049e+01  2.741479e-01
 1.306152e+01  2.825464e-01
 1.312256e+01  2.795823e-01
 1.318359e+01  2.773623e-01
 1.324463e+01  2.788801e-01
 1.330566e+01  2.830206e-01
 1.336670e+01  2.845947e-01
 1.342773e+01  2.827403e-01
 1.348877e+01  2.850249e-01
 1.354980e+01  2.894011e-01
 1.361084e+01  2.873603e-01
 1.367188e+01  2.871884e-01
 1.373291e+01  2.870778e-01
 1.379395e+01  2.964013e-01
 1.385498e+01  2.914330e-01
 1.391602e+01  2.921391e-01
 1.397705e+01  2.932573e-01
 1.403809e+01  2.955406e-01
 1.409912e+01  3.017983e-01
 1.416016e+01  2.989327e-01
 1.422119e+01  2.962119e-01
 1.428223e+01  3.004671e-01
 1.434326e+01  2.993377e-01
 1.440430e+01  3.017722e-01
 1.446533e+01  2.993633e-01
 1.452637e+01  3.004080e-01
 1.458740e+01  3.033561e-01
 1.464844e+01  2.988920e-01
 1.470947e+01  3.050382e-01
 1.477051e+01  3.147644e-01
 1.483154e+01  3.126295e-01
 1.489258e+01  3.102195e-01
 1.495361e+01  3.177566e-01
 1.501465e+01  3.205391e-01
 1.507568e+01  3.224056e-01
 1.513672e+01  3.213567e-01
 1.519775e+01  3.328457e-01
 1.525879e+01  3.281592e-01
 1.531982e+01  3.228522e-01
 1.538086e+01  3.336011e-01
 1.544189e+01  3.309465e-01
 1.550293e+01  3.370444e-01
 1.556396e+01  3.359963e-01
 1.562500e+01  3.421011e-01
 1.568604e+01  3.432124e-01
 1.574707e+01  3.383051e-01
 1.580811e+01  3.450415e-01
 1.586914e+01  3.546894e-01
 1.593018e+01  3.519224e-01
 1.599121e+01  3.564307e-01
 1.605225e+01  3.578643e-01
 1.611328e+01  3.620201e-01
 1.617432e+01  3.632304e-01
 1.623535e+01  3.647304e-01
 1.629639e+01  3.769477e-01
 1.635742e+01  3.753661e-01
 1.641846e+01  3.841971e-01
 1.647949e+01  3.876535e-01
 1.654053e+01  3.961102e-01
 1.660156e+01  3.953660e-01
 1.666260e+01  3.994867e-01
 1.672363e+01  4.060794e-01
 1.678467e+01  4.094733e-01
 1.684570e+01  4.204574e-01
 1.690674e+01  4.204132e-01
 1.696777e+01  4.186889e-01
 1.702881e+01  4.169266e-01
 1.708984e+01  4.315073e-01
 1.715088e+01  4.386085e-01
 1.721191e+01  4.341644e-01
 1.727295e+01  4.459838e-01
 1.733398e+01  4.463874e-01
 1.739502e+01  4.472970e-01
 1.745605e+01  4.522941e-01
 1.751709e+01  4.578225e-01
 1.757812e+01  4.693112e-01
 1.763916e+01  4.689167e-01
 1.770020e+01  4.784383e-01
 1.776123e+01  4.760139e-01
 1.782227e+01  4.856461e-01
 1.788330e+01  4.829012e-01
 1.794434e+01  4.914734e-01
 1.800537e+01  4.906246e-01
 1.806641e+01  5.018789e-01
 1.812744e+01  5.073782e-01
 1.818848e+01  5.087072e-01
 1.824951e+01  5.048707e-01
 1.831055e+01  5.069208e-01
 1.837158e+01  5.166970e-01
 1.843262e+01  5.230417e-01
 1.849365e+01  5.348231e-01
 1.855469e+01  5.244993e-01
 1.861572e+01  5.358610e-01
 1.867676e+01  5.413380e-01
 1.873779e+01  5.404574e-01
 1.879883e+01  5.474963e-01
 1.885986e+01  5.558465e-01
 1.892090e+01  5.571447e-01
 1.898193e+01  5.629054e-01
 1.904297e+01  5.660188e-01
 1.910400e+01  5.717520e-01
 1.916504e+01  5.795797e-01
 1.922607e+01  5.874680e-01
 1.928711e+01  5.897993e-01
 1.934814e+01  5.936822e-01
 1.940918e+01  5.957065e-01
 1.947021e+01  6.002721e-01
 1.953125e+01  6.116053e-01
 1.959229e+01  6.123053e-01
 1.965332e+01  6.133921e-01
 1.971436e+01  6.141359e-01
 1.977539e+01  6.260600e-01
 1.983643e+01  6.259994e-01
 1.989746e+01  6.233780e-01
 1.995850e+01  6.247970e-01
 2.001953e+01  6.291519e-01
 2.008057e+01  6.272111e-01
 2.014160e+01  6.340715e-01
 2.020264e+01  6.325051e-01
 2.026367e+01  6.510718e-01
 2.032471e+01  6.439873e-01
 2.038574e+01  6.448039e-01
 2.044678e+01  6.522765e-01
 2.050781e+01  6.563267e-01
 2.056885e+01  6.550077e-01
 2.062988e+01  6.544284e-01
 2.069092e+01  6.532999e-01
 2.075195e+01  6.593663e-01
 2.081299e+01  6.609903e-01
 2.087402e+01  6.636469e-01
 2.093506e+01  6.656576e-01
 2.099609e+01  6.650875e-01
 2.105713e+01  6.671731e-01
 2.111816e+01  6.700151e-01
 2.117920e+01  6.772251e-01
 2.124023e+01  6.816704e-01
 2.130127e+01  6.869817e-01
 2.136230e+01  6.797984e-01
 2.142334e+01  6.905221e-01
 2.148438e+01  6.897001e-01
 2.154541e+01  6.989319e-01
 2.160645e+01  7.044725e-01
 2.166748e+01  7.058587e-01
 2.172852e+01  7.032228e-01
 2.178955e+01  7.161049e-01
 2.185059e+01  7.196281e-01
 2.191162e+01  7.190797e-01
 2.197266e+01  7.267665e-01
 2.203369e+01  7.261493e-01
 2.209473e+01  7.393480e-01
 2.215576e+01  7.265259e-01
 2.221680e+01  7.360529e-01
 2.227783e+01  7.465528e-01
 2.233887e+01  7.490339e-01
 2.239990e+01  7.469867e-01
 2.246094e+01  7.472197e-01
 2.252197e+01  7.520168e-01
 2.258301e+01  7.569253e-01
 2.264404e+01  7.567218e-01
 2.270508e+01  7.525234e-01
 2.276611e+01  7.573270e-01
 2.282715e+01  7.560800e-01
 2.288818e+01  7.643171e-01
 2.294922e+01  7.613045e-01
 2.301025e+01  7.500698e-01
 2.307129e+01  7.641605e-01
 2.313232e+01  7.619538e-01
 2.319336e+01  7.690619e-01
 2.325439e+01  7.589738e-01
 2.331543e+01  7.633116e-01
 2.337646e+01  7.698771e-01
 2.343750e+01  7.601783e-01
 2.349854e+01  7.701458e-01
 2.355957e+01  7.760388e-01
 2.362061e+01  7.785182e-01
 2.368164e+01  7.750100e-01
 2.374268e+01  7.693645e-01
 2.380371e+01  7.823361e-01
 2.386475e+01  7.766689e-01
 2.392578e+01  7.820386e-01
 2.398682e+01  7.967679e-01
 2.404785e+01  8.023818e-01
 2.410889e+01  7.966876e-01
 2.416992e+01  7.901675e-01
 2.423096e+01  8.015509e-01
 2.429199e+01  8.022397e-01
 2.435303e+01  7.949222e-01
 2.441406e+01  8.012180e-01
 2.447510e+01  8.088204e-01
 2.453613e+01  8.199412e-01
 2.459717e+01  8.109366e-01
 2.465820e+01  8.215095e-01
 2.471924e+01  8.320562e-01
 2.478027e+01  8.205431e-01
 2.484131e+01  8.241822e-01
 2.490234e+01  8.340296e-01
 2.496338e+01  8.316435e-01
 2.502441e+01  8.344051e-01
 2.508545e+01  8.314676e-01
 2.514648e+01  8.403687e-01
 2.520752e+01  8.408392e-01
 2.526855e+01  8.328867e-01
 2.532959e+01  8.463408e-01
 2.539062e+01  8.459089e-01
 2.545166e+01  8.305010e-01
 2.551270e+01  8.380486e-01
 2.557373e+01  8.411863e-01
 2.563477e+01  8.333439e-01
 2.569580e+01  8.438953e-01
 2.575684e+01  8.459803e-01
 2.581787e+01  8.423079e-01
 2.587891e+01  8.323190e-01
 2.593994e+01  8.452271e-01
 2.600098e+01  8.454602e-01
 2.606201e+01  8.295918e-01
 2.612305e+01  8.522127e-01
 2.618408e+01  8.440788e-01
 2.624512e+01  8.380678e-01
 2.630615e+01  8.426149e-01
 2.636719e+01  8.468752e-01
 2.642822e+01  8.373179e-01
 2.648926e+01  8.434281e-01
 2.655029e+01  8.421585e-01
 2.661133e+01  8.344355e-01
 2.667236e+01  8.419637e-01
 2.673340e+01  8.329366e-01
 2.679443e+01  8.293563e-01
 2.685547e+01  8.324181e-01
 2.691650e+01  8.319145e-01
 2.697754e+01  8.184983e-01
 2.703857e+01  8.211849e-01
 2.709961e+01  8.199422e-01
 2.716064e+01  8.131169e-01
 2.722168e+01  8.209724e-01
 2.728271e+01  8.172379e-01
 2.734375e+01  8.126240e-01
 2.740479e+01  8.184040e-01
 2.746582e+01  8.167071e-01
 2.752686e+01  8.114587e-01
 2.758789e+01  8.150136e-01
 2.764893e+01  8.140977e-01
 2.770996e+01  8.126066e-01
 2.777100e+01  8.067702e-01
 2.783203e+01  8.094171e-01
 2.789307e+01  8.037468e-01
 2.795410e+01  8.065267e-01
 2.801514e+01  8.064576e-01
 2.807617e+01  7.988738e-01
 2.813721e+01  8.064102e-01
 2.819824e+01  8.099538e-01
 2.825928e+01  8.020161e-01
 2.832031e+01  8.053908e-01
 2.838135e+01  8.069063e-01
 2.844238e+01  8.040594e-01
 2.850342e+01  8.126267e-01
 2.856445e+01  8.055713e-01
 2.862549e+01  8.102757e-01
 2.868652e+01  8.014951e-01
 2.874756e+01  8.001372e-01
 2.880859e+01  8.126777e-01
 2.886963e+01  7.982184e-01
 2.893066e+01  7.924942e-01
 2.899170e+01  8.133925e-01
 2.905273e+01  7.967764e-01
 2.911377e+01  7.994102e-01
 2.917480e+01  8.013638e-01
 2.923584e+01  8.006880e-01
 2.929688e+01  8.041842e-01
 2.935791e+01  8.022355e-01
 2.941895e+01  8.087072e-01
 2.947998e+01  8.122857e-01
 2.954102e+01  7.964616e-01
 2.960205e+01  8.093042e-01
 2.966309e+01  8.149325e-01
 2.972412e+01  8.097162e-01
 2.978516e+01  8.063906e-01
 2.984619e+01  8.141090e-01
 2.990723e+01  8.094282e-01
 2.996826e+01  8.118445e-01
 3.002930e+01  8.088293e-01
 3.009033e+01  8.151723e-01
 3.015137e+01  8.188056e-01
 3.021240e+01  8.046407e-01
 3.027344e+01  8.219206e-01
 3.033447e+01  8.184841e-01
 3.039551e+01  8.092793e-01
 3.045654e+01  8.196425e-01
 3.051758e+01  8.118328e-01
 3.057861e+01  8.280075e-01
 3.063965e+01  8.210604e-01
 3.070068e+01  8.155726e-01
 3.076172e+01  8.246309e-01
 3.082275e+01  8.152233e-01
 3.088379e+01  8.246292e-01
 3.094482e+01  8.120320e-01
 3.100586e+01  8.198621e-01
 3.106689e+01  8.263215e-01
 3.112793e+01  8.118755e-01
 3.118896e+01  8.232620e-01
 3.125000e+01  8.204561e-01
 3.131104e+01  8.331248e-01
 3.137207e+01  8.272186e-01
 3.143311e+01  8.200264e-01
 3.149414e+01  8.233436e-01
 3.155518e+01  8.278588e-01
 3.161621e+01  8.309305e-01
 3.167725e+01  8.205135e-01
 3.173828e+01  8.276137e-01
 3.179932e+01  8.249315e-01
 3.186035e+01  8.308708e-01
