%Output from Claritas:XVIEW amplitude spectrum zoom window at Fri Sep  1 19:22:55 2023
%Power spectrum listed as dB (dBmin=-60)
%Spectrum averaged over 262 traces
%Maximum input Power : 0
%Time window : 1448 to 2168ms
%SHOTID range 61538304 to 70385664

%   Freq/Hz         Power
 0.000000e+00  -2.161962e+01
 9.765625e-01  -2.069798e+01
 1.953125e+00  -2.113265e+01
 2.929688e+00  -2.028652e+01
 3.906250e+00  -1.986303e+01
 4.882812e+00  -1.941748e+01
 5.859375e+00  -1.765261e+01
 6.835938e+00  -1.585289e+01
 7.812500e+00  -1.385048e+01
 8.789062e+00  -9.873945e+00
 9.765625e+00  -3.790660e+00
 1.074219e+01  -1.885141e+00
 1.171875e+01  -3.174693e+00
 1.269531e+01  -2.532429e+00
 1.367188e+01  -1.291009e+00
 1.464844e+01  -3.867071e-01
 1.562500e+01  -8.909926e-01
 1.660156e+01  -1.629909e+00
 1.757812e+01  0.000000e+00
 1.855469e+01  -7.040401e-01
 1.953125e+01  -8.188639e-01
 2.050781e+01  -7.091509e-01
 2.148438e+01  -6.414537e-01
 2.246094e+01  -2.082909e+00
 2.343750e+01  -1.235238e+00
 2.441406e+01  -1.008275e+00
 2.539062e+01  -1.672934e+00
 2.636719e+01  -1.290283e+00
 2.734375e+01  -3.573888e-01
 2.832031e+01  -1.549656e+00
 2.929688e+01  -3.216481e+00
 3.027344e+01  -2.590351e+00
 3.125000e+01  -2.991710e+00
 3.222656e+01  -3.516661e+00
 3.320312e+01  -4.220078e+00
 3.417969e+01  -4.693356e+00
 3.515625e+01  -4.858472e+00
 3.613281e+01  -4.981455e+00
 3.710938e+01  -5.334970e+00
 3.808594e+01  -6.645857e+00
 3.906250e+01  -6.909316e+00
 4.003906e+01  -7.750048e+00
 4.101562e+01  -8.369207e+00
 4.199219e+01  -8.755691e+00
 4.296875e+01  -8.817541e+00
 4.394531e+01  -9.639440e+00
 4.492188e+01  -1.103605e+01
 4.589844e+01  -1.100260e+01
 4.687500e+01  -1.217320e+01
 4.785156e+01  -1.229656e+01
 4.882812e+01  -1.331211e+01
 4.980469e+01  -1.324983e+01
 5.078125e+01  -1.445958e+01
 5.175781e+01  -1.481293e+01
 5.273438e+01  -1.489131e+01
 5.371094e+01  -1.516887e+01
 5.468750e+01  -1.390030e+01
 5.566406e+01  -1.403946e+01
 5.664062e+01  -1.781192e+01
 5.761719e+01  -1.903609e+01
 5.859375e+01  -2.060386e+01
 5.957031e+01  -2.174760e+01
 6.054688e+01  -2.281818e+01
 6.152344e+01  -2.399887e+01
 6.250000e+01  -2.614964e+01
 6.347656e+01  -2.681509e+01
 6.445312e+01  -2.753558e+01
 6.542969e+01  -2.865457e+01
 6.640625e+01  -2.833123e+01
 6.738281e+01  -2.814462e+01
 6.835938e+01  -2.942673e+01
 6.933594e+01  -2.921198e+01
 7.031250e+01  -2.925173e+01
 7.128906e+01  -2.950036e+01
 7.226562e+01  -2.994361e+01
 7.324219e+01  -3.023313e+01
 7.421875e+01  -2.988953e+01
 7.519531e+01  -3.098515e+01
 7.617188e+01  -3.063956e+01
 7.714844e+01  -3.017696e+01
 7.812500e+01  -3.092155e+01
 7.910156e+01  -3.107322e+01
 8.007812e+01  -3.092932e+01
 8.105469e+01  -3.079541e+01
 8.203125e+01  -3.178596e+01
 8.300781e+01  -3.119343e+01
 8.398438e+01  -3.087478e+01
 8.496094e+01  -3.220710e+01
 8.593750e+01  -3.159119e+01
 8.691406e+01  -3.153659e+01
 8.789062e+01  -3.201671e+01
 8.886719e+01  -3.205697e+01
 8.984375e+01  -3.213815e+01
 9.082031e+01  -3.178250e+01
 9.179688e+01  -3.319368e+01
 9.277344e+01  -3.208988e+01
 9.375000e+01  -3.213239e+01
 9.472656e+01  -3.282546e+01
 9.570312e+01  -3.256372e+01
 9.667969e+01  -3.274239e+01
 9.765625e+01  -3.233525e+01
 9.863281e+01  -3.335966e+01
 9.960938e+01  -3.263176e+01
 1.005859e+02  -3.237135e+01
 1.015625e+02  -3.376473e+01
 1.025391e+02  -3.277513e+01
 1.035156e+02  -3.303234e+01
 1.044922e+02  -3.301324e+01
 1.054688e+02  -3.340057e+01
 1.064453e+02  -3.308953e+01
 1.074219e+02  -3.273692e+01
 1.083984e+02  -3.421352e+01
 1.093750e+02  -3.287651e+01
 1.103516e+02  -3.300308e+01
 1.113281e+02  -3.362623e+01
 1.123047e+02  -3.326390e+01
 1.132812e+02  -3.342128e+01
 1.142578e+02  -3.307055e+01
 1.152344e+02  -3.414074e+01
 1.162109e+02  -3.316661e+01
 1.171875e+02  -3.300875e+01
 1.181641e+02  -3.424054e+01
 1.191406e+02  -3.316717e+01
 1.201172e+02  -3.351302e+01
 1.210938e+02  -3.340634e+01
 1.220703e+02  -3.381914e+01
 1.230469e+02  -3.333522e+01
 1.240234e+02  -3.309025e+01
 1.250000e+02  -3.455632e+01
